x,y,z
0.120000,0.800000,1.728000
0.120000,0.820000,1.743200
0.120000,0.840000,1.758400
0.120000,0.860000,1.773600
0.120000,0.880000,1.788800
0.120000,0.900000,1.804000
0.120000,0.920000,1.819200
0.120000,0.940000,1.834400
0.120000,0.960000,1.849600
0.120000,0.980000,1.864800
0.120000,1.000000,1.880000
0.130000,0.000000,1.130000
0.130000,0.020000,1.144800
0.130000,0.040000,1.159600
0.130000,0.060000,1.174400
0.130000,0.080000,1.189200
0.130000,0.100000,1.204000
0.130000,0.120000,1.218800
0.130000,0.140000,1.233600
0.130000,0.160000,1.248400
0.130000,0.180000,1.263200
0.130000,0.200000,1.278000
0.130000,0.220000,1.292800
0.130000,0.240000,1.307600
0.130000,0.260000,1.322400
0.130000,0.280000,1.337200
0.130000,0.300000,1.352000
0.130000,0.320000,1.366800
0.130000,0.340000,1.381600
0.130000,0.360000,1.396400
0.130000,0.380000,1.411200
0.130000,0.400000,1.426000
0.130000,0.420000,1.440800
0.130000,0.440000,1.455600
0.130000,0.460000,1.470400
0.130000,0.480000,1.485200
0.130000,0.500000,1.500000
0.130000,0.520000,1.514800
0.130000,0.540000,1.529600
0.130000,0.560000,1.544400
0.130000,0.580000,1.559200
0.130000,0.600000,1.574000
0.130000,0.620000,1.588800
0.130000,0.640000,1.603600
0.130000,0.660000,1.618400
0.130000,0.680000,1.633200
0.130000,0.700000,1.648000
0.130000,0.720000,1.662800
0.130000,0.740000,1.677600
0.130000,0.760000,1.692400
0.130000,0.780000,1.707200
0.130000,0.800000,1.722000
0.130000,0.820000,1.736800
0.130000,0.840000,1.751600
0.130000,0.860000,1.766400
0.130000,0.880000,1.781200
0.130000,0.900000,1.796000
0.130000,0.920000,1.810800
0.130000,0.940000,1.825600
0.130000,0.960000,1.840400
0.130000,0.980000,1.855200
0.130000,1.000000,1.870000
0.140000,0.000000,1.140000
0.140000,0.020000,1.154400
0.140000,0.040000,1.168800
0.140000,0.060000,1.183200
0.140000,0.080000,1.197600
0.140000,0.100000,1.212000
0.140000,0.120000,1.226400
0.140000,0.140000,1.240800
0.140000,0.160000,1.255200
0.140000,0.180000,1.269600
0.140000,0.200000,1.284000
0.140000,0.220000,1.298400
0.140000,0.240000,1.312800
0.140000,0.260000,1.327200
0.140000,0.280000,1.341600
0.140000,0.300000,1.356000
0.140000,0.320000,1.370400
0.140000,0.340000,1.384800
0.140000,0.360000,1.399200
0.140000,0.380000,1.413600
0.140000,0.400000,1.428000
0.140000,0.420000,1.442400
0.140000,0.440000,1.456800
0.140000,0.460000,1.471200
0.140000,0.480000,1.485600
0.140000,0.500000,1.500000
0.140000,0.520000,1.514400
0.140000,0.540000,1.528800
0.140000,0.560000,1.543200
0.140000,0.580000,1.557600
0.140000,0.600000,1.572000
0.140000,0.620000,1.586400
0.140000,0.640000,1.600800
0.140000,0.660000,1.615200
0.140000,0.680000,1.629600
0.140000,0.700000,1.644000
0.140000,0.720000,1.658400
0.140000,0.740000,1.672800
0.140000,0.760000,1.687200
0.140000,0.780000,1.701600
0.140000,0.800000,1.716000
0.140000,0.820000,1.730400
0.140000,0.840000,1.744800
0.140000,0.860000,1.759200
0.140000,0.880000,1.773600
0.140000,0.900000,1.788000
0.140000,0.920000,1.802400
0.140000,0.940000,1.816800
0.140000,0.960000,1.831200
0.140000,0.980000,1.845600
0.140000,1.000000,1.860000
0.150000,0.000000,1.150000
0.150000,0.020000,1.164000
0.150000,0.040000,1.178000
0.150000,0.060000,1.192000
0.150000,0.080000,1.206000
0.150000,0.100000,1.220000
0.150000,0.120000,1.234000
0.150000,0.140000,1.248000
0.150000,0.160000,1.262000
0.150000,0.180000,1.276000
0.150000,0.200000,1.290000
0.150000,0.220000,1.304000
0.150000,0.240000,1.318000
0.150000,0.260000,1.332000
0.150000,0.280000,1.346000
0.150000,0.300000,1.360000
0.150000,0.320000,1.374000
0.150000,0.340000,1.388000
0.150000,0.360000,1.402000
0.150000,0.380000,1.416000
0.150000,0.400000,1.430000
0.150000,0.420000,1.444000
0.150000,0.440000,1.458000
0.150000,0.460000,1.472000
0.150000,0.480000,1.486000
0.150000,0.500000,1.500000
0.150000,0.520000,1.514000
0.150000,0.540000,1.528000
0.150000,0.560000,1.542000
0.150000,0.580000,1.556000
0.150000,0.600000,1.570000
0.150000,0.620000,1.584000
0.150000,0.640000,1.598000
0.150000,0.660000,1.612000
0.150000,0.680000,1.626000
0.150000,0.700000,1.640000
0.150000,0.720000,1.654000
0.150000,0.740000,1.668000
0.150000,0.760000,1.682000
0.150000,0.780000,1.696000
0.150000,0.800000,1.710000
0.150000,0.820000,1.724000
0.150000,0.840000,1.738000
0.150000,0.860000,1.752000
0.150000,0.880000,1.766000
0.150000,0.900000,1.780000
0.150000,0.920000,1.794000
0.150000,0.940000,1.808000
0.150000,0.960000,1.822000
0.150000,0.980000,1.836000
0.150000,1.000000,1.850000
0.160000,0.000000,1.160000
0.160000,0.020000,1.173600
0.160000,0.040000,1.187200
0.160000,0.060000,1.200800
0.160000,0.080000,1.214400
0.160000,0.100000,1.228000
0.160000,0.120000,1.241600
0.160000,0.140000,1.255200
0.160000,0.160000,1.268800
0.160000,0.180000,1.282400
0.160000,0.200000,1.296000
0.160000,0.220000,1.309600
0.160000,0.240000,1.323200
0.160000,0.260000,1.336800
0.160000,0.280000,1.350400
0.160000,0.300000,1.364000
0.160000,0.320000,1.377600
0.160000,0.340000,1.391200
0.160000,0.360000,1.404800
0.160000,0.380000,1.418400
0.160000,0.400000,1.432000
0.160000,0.420000,1.445600
0.160000,0.440000,1.459200
0.160000,0.460000,1.472800
0.160000,0.480000,1.486400
0.160000,0.500000,1.500000
0.160000,0.520000,1.513600
0.160000,0.540000,1.527200
0.160000,0.560000,1.540800
0.160000,0.580000,1.554400
0.160000,0.600000,1.568000
0.160000,0.620000,1.581600
0.160000,0.640000,1.595200
0.160000,0.660000,1.608800
0.160000,0.680000,1.622400
0.160000,0.700000,1.636000
0.160000,0.720000,1.649600
0.160000,0.740000,1.663200
0.160000,0.760000,1.676800
0.160000,0.780000,1.690400
0.160000,0.800000,1.704000
0.160000,0.820000,1.717600
0.160000,0.840000,1.731200
0.160000,0.860000,1.744800
0.160000,0.880000,1.758400
0.160000,0.900000,1.772000
0.160000,0.920000,1.785600
0.160000,0.940000,1.799200
0.160000,0.960000,1.812800
0.160000,0.980000,1.826400
0.160000,1.000000,1.840000
0.170000,0.000000,1.170000
0.170000,0.020000,1.183200
0.170000,0.040000,1.196400
0.170000,0.060000,1.209600
0.170000,0.080000,1.222800
0.170000,0.100000,1.236000
0.170000,0.120000,1.249200
0.170000,0.140000,1.262400
0.170000,0.160000,1.275600
0.170000,0.180000,1.288800
0.170000,0.200000,1.302000
0.170000,0.220000,1.315200
0.170000,0.240000,1.328400
0.170000,0.260000,1.341600
0.170000,0.280000,1.354800
0.170000,0.300000,1.368000
0.170000,0.320000,1.381200
0.170000,0.340000,1.394400
0.170000,0.360000,1.407600
0.170000,0.380000,1.420800
0.170000,0.400000,1.434000
0.170000,0.420000,1.447200
0.170000,0.440000,1.460400
0.170000,0.460000,1.473600
0.170000,0.480000,1.486800
0.170000,0.500000,1.500000
0.170000,0.520000,1.513200
0.170000,0.540000,1.526400
0.170000,0.560000,1.539600
0.170000,0.580000,1.552800
0.170000,0.600000,1.566000
0.170000,0.620000,1.579200
0.170000,0.640000,1.592400
0.170000,0.660000,1.605600
0.170000,0.680000,1.618800
0.170000,0.700000,1.632000
0.170000,0.720000,1.645200
0.170000,0.740000,1.658400
0.170000,0.760000,1.671600
0.170000,0.780000,1.684800
0.170000,0.800000,1.698000
0.170000,0.820000,1.711200
0.170000,0.840000,1.724400
0.170000,0.860000,1.737600
0.170000,0.880000,1.750800
0.170000,0.900000,1.764000
0.170000,0.920000,1.777200
0.170000,0.940000,1.790400
0.170000,0.960000,1.803600
0.170000,0.980000,1.816800
0.170000,1.000000,1.830000
0.180000,0.000000,1.180000
0.180000,0.020000,1.192800
0.180000,0.040000,1.205600
0.180000,0.060000,1.218400
0.180000,0.080000,1.231200
0.180000,0.100000,1.244000
0.180000,0.120000,1.256800
0.180000,0.140000,1.269600
0.180000,0.160000,1.282400
0.180000,0.180000,1.295200
0.180000,0.200000,1.308000
0.180000,0.220000,1.320800
0.180000,0.240000,1.333600
